127,25991
32,34894
90,43010
206,60416
118,47104
71,18181
102,38668
16,22627
55,45002
84,38476
233,19012
259,13894
194,19776
57,48712
220,60420
163,35713
89,52035
175,47623
31,29897
35,42508
11,19707
208,23749
93,40777
29,26825
199,60427
114,16899
226,62464
58,43268
211,17013
153,44224
15,6966
101,46148
73,22786
76,18500
62,45858
67,44812
241,14147
198,48945
139,16580
129,26117
236,25729
249,28996
218,59402
202,30471
168,49414
184,54788
135,25348
14,30172
145,16769
49,27399
178,55682
24,32336
140,36932
124,38659
104,51202
131,25155
181,57537
234,15628
154,32066
23,35926
96,49286
159,42371
160,30596
47,31747
8,17820
98,54213
37,35088
43,26192
195,10928
5,9907
21,19017
193,14930
119,48912
180,32712
244,24961
162,41225
246,17920
240,22785
74,21831
61,16546
230,27203
115,36612
103,50207
201,56323
113,25283
152,37513
189,67833
91,48582
107,16614
87,40198
174,53953
77,19905
214,56589
221,38661
39,45835
64,37711
97,32775
12,26335
41,35215
52,38346
229,33539
45,25284
260,45958
237,24321
188,54038
68,41857
1,449
136,25219
116,50193
144,31554
100,39425
222,30401
25,28045
120,30091
83,35715
254,24512
177,39364
217,46093
239,22531
122,37443
143,24329
205,52493
158,33412
42,38601
22,30930
46,17999
235,18565
6,12325
36,41164
213,55056
183,49476
94,38790
51,41799
169,30660
132,26176
171,46722
200,51469
18,22902
125,19137
44,22778
27,32707
161,45963
190,63106
95,38724
20,29140
109,53763
231,20612
243,21760
151,44744
148,36424
78,16710
106,20553
157,34754
65,27348
197,12726
203,54529
261,22912
138,25159
81,35265
137,19460
60,37062
86,46145
247,25729
204,60190
165,36423
17,25862
2,2326
186,31174
82,47943
110,34322
147,42691
228,53250
69,39182
112,51977
172,33605
191,3316
224,19333
187,59451
223,40770
79,37068
121,33084
212,60416
126,25927
238,25285
251,26503
253,21894
176,53575
209,29888
216,23815
256,24132
117,41990
170,53000
33,39240
63,46852
7,15657
80,23748
26,36174
227,52240
99,36871
72,19969
179,47172
255,26946
182,48003
108,55075
92,47686
232,24069
10,16971
225,58640
142,30659
207,33540
167,48832
48,34565
133,39555
123,53262
149,36034
50,31753
210,31136
258,28408
173,47428
56,40775
66,52495
19,30252
54,44039
70,38027
166,50183
88,33932
30,26568
141,41159
128,17921
252,22542
28,26955
75,30344
40,38953
134,26565
156,52100
192,16146
250,25280
59,38021
215,61184
150,15557
130,14470
155,33928
53,45060
245,24130
219,43530
13,26138
257,22734
105,13899
85,31941
3,3835
185,32512
248,58758
111,53507
9,19193
146,48835
38,25279
4,7205
34,38029
164,50112
196,20336
242,20100
